video-name,t-start,t-end,action-label,video-duration,filename,fps,video-frames,temporal-region-label,b-up,b-down,b-left,b-right
1653930304955,4.14,9.04,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,9.94,15.11,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,15.74,20.64,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,21.61,25.71,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,26.55,30.75,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,31.75,35.52,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,36.42,40.02,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,41.15,45.19,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,46.19,50.09,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,50.99,54.86,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,55.59,59.36,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
1653930304955,60.33,64.27,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125.0,37.6,170.0
IMG_3080,12.76,19.65,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6.0,125.0,44.0,192.8
IMG_3080,21.85,29.61,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6.0,125.0,44.0,192.8
IMG_3080,31.87,40.6,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6.0,125.0,44.0,192.8
IMG_3080,43.06,51.82,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6.0,125.0,44.0,192.8
IMG_3080,53.82,61.02,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6.0,125.0,44.0,192.8
IMG_3080,63.35,73.51,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6.0,125.0,44.0,192.8
IMG_3081,12.22,20.32,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,21.48,30.64,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,31.74,41.2,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,43.33,53.12,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,55.19,64.85,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,67.44,77.3,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,80.97,90.19,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3081,91.72,100.68,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125.0,46.8,179.6
IMG_3082,14.26,22.78,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3082,24.45,33.07,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3082,36.07,44.0,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3082,46.23,53.62,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3082,55.45,64.65,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3082,66.21,74.67,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3082,76.67,85.63,HandUpDown,91.967,IMG_3082.npy,30,2759,Action,5.6,125.0,44.4,217.4
IMG_3085,17.02,24.05,HandLeftRight,91.567,IMG_3085.npy,30,2747,Action,6.0,125.0,32.8,195.8
IMG_3085,25.11,31.67,HandLeftRight,91.567,IMG_3085.npy,30,2747,Action,6.0,125.0,32.8,195.8
IMG_3085,34.87,41.87,HandLeftRight,91.567,IMG_3085.npy,30,2747,Action,6.0,125.0,32.8,195.8
IMG_3085,45.2,56.12,HandLeftRight,91.567,IMG_3085.npy,30,2747,Action,6.0,125.0,32.8,195.8
IMG_3085,58.19,65.35,HandLeftRight,91.567,IMG_3085.npy,30,2747,Action,6.0,125.0,32.8,195.8
IMG_3085,67.61,75.97,HandLeftRight,91.567,IMG_3085.npy,30,2747,Action,6.0,125.0,32.8,195.8
video-1653398996,0.53,4.6,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,5.47,9.7,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,11.17,15.53,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,16.8,21.0,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,22.23,26.43,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,27.17,31.37,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,32.2,36.0,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,36.93,40.97,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,42.0,45.97,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,47.0,50.57,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,53.97,57.2,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,58.53,61.87,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,62.87,66.67,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653398996,67.63,71.03,HandUpDown,74.933,video-1653398996.npy,30,2248,Action,3.2,123.2,29.2,176.6
video-1653399167,0.93,4.37,HandUpDown,96.6,video-1653399167.npy,30,2898,Action,4.8,116.6,41.6,218.6
video-1653399167,5.13,8.8,HandUpDown,96.6,video-1653399167.npy,30,2898,Action,4.8,116.6,41.6,218.6
video-1653399167,9.67,13.53,HandUpDown,96.6,video-1653399167.npy,30,2898,Action,4.8,116.6,41.6,218.6
video-1653399167,14.53,18.0,HandUpDown,96.6,video-1653399167.npy,30,2898,Action,4.8,116.6,41.6,218.6
video-1653399167,19.17,22.87,HandUpDown,96.6,video-1653399167.npy,30,2898,Action,4.8,116.6,41.6,218.6
video-1653399167,23.9,27.9,HandUpDown,96.6,video-1653399167.npy,30,2898,Action,4.8,116.6,41.6,218.6
